"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"ASB8",-181.323769100169,697.119565217391,-5.83123130050357,1.67886710093431e-07,3.08037497204932e-06,-3.99165254493512,"Downregulated"
"PHKB",-304.241044142615,968.059057971014,-5.82945159932926,1.69083410373872e-07,3.09435680835885e-06,-3.99191175606644,"Downregulated"
"GALNT7",-2424.1744057725,4408.89420289855,-5.8261954862023,1.71294726227699e-07,3.12678757952561e-06,-3.99238606802805,"Downregulated"
"SLC18A2",-107.602674023769,173.855072463768,-5.82027119823886,1.75391590327699e-07,3.19610767459784e-06,-3.99324925769736,"Downregulated"
"LHPP",-285.813073005093,577.366666666667,-5.8188789260643,1.76368357317629e-07,3.21116709909002e-06,-3.99345215582598,"Downregulated"
"C4orf33",-100.088851160158,193.399033816425,-5.81683627373961,1.77811139051873e-07,3.23326472586023e-06,-3.99374986183772,"Downregulated"
"MLH1",-781.6240237691,1704.65652173913,-5.81540472036506,1.78829226740729e-07,3.24766649277359e-06,-3.99395852238757,"Downregulated"
"CSTA",-2392.2525466893,2458.59855072464,-5.80997101782214,1.82746223215322e-07,3.30195523621797e-06,-3.99475067129152,"Downregulated"
"SMPDL3B",-241.819227504244,500.35,-5.80967276899221,1.82963658371143e-07,3.30308947745774e-06,-3.99479415783043,"Downregulated"
"LRAT",-53.9640916808149,61,-5.80896475662811,1.83480851110754e-07,3.30962883207125e-06,-3.99489739316051,"Downregulated"
"CMTM5",-168.079117147708,279.792753623188,-5.80827756698534,1.83984213964213e-07,3.3159078967373e-06,-3.99499759597778,"Downregulated"
"KCNK17",-368.182258064516,486.465217391304,-5.80691298324712,1.84987811172954e-07,3.33118438720133e-06,-3.99519658392082,"Downregulated"
"TPCN2",-298.114991511036,360.607826086957,-5.80644958476006,1.85329850691779e-07,3.33453211560601e-06,-3.99526416138287,"Downregulated"
"SLC1A2",-113.667558007923,96.6886473429952,-5.80543291841143,1.86082453278565e-07,3.34525501234875e-06,-3.9954124276854,"Downregulated"
"SLC66A1LP",-105.065492359932,165.936231884058,-5.80424744762748,1.86963828415669e-07,3.35827290451929e-06,-3.99558532161938,"Downregulated"
"SND1-IT1",-148.705093378608,216.446376811594,-5.80325897169439,1.87701892858751e-07,3.36869691242382e-06,-3.99572949316455,"Downregulated"
"MC3R",-109.38013582343,123.468115942029,-5.80180925180693,1.88789561736821e-07,3.38253244128631e-06,-3.99594095162157,"Downregulated"
"SLC25A42",-55.9698853989813,98.5018115942029,-5.80137463333574,1.89116850310099e-07,3.38555622135188e-06,-3.99600434886651,"Downregulated"
