"","logFC","AveExpr","t","P.Value","adj.P.Val","B","threshold"
"CETN1",-71.5765704584041,202.468115942029,-2.78600248586738,0.0069111230282459,0.0194981313757263,-4.43020502119934,"Downregulated"
"CEP19",28.0120967741936,73.3898550724638,2.78561983040561,0.00691843385756705,0.0195161790907489,-4.43025270590977,"Upregulated"
"GRAPL",-37.7051994906621,123.388043478261,-2.78535732762857,0.00692345321370258,0.0195277588860335,-4.43028541548981,"Downregulated"
"XRCC5",421.809111488399,2895.6845410628,2.78528309075148,0.00692487331484918,0.0195291851822572,-4.43029466555964,"Upregulated"
"IGKV2D-28",-4858.18845500848,9283.92753623188,-2.78499350032923,0.00693041554016795,0.0195422345776825,-4.43033074771675,"Downregulated"
"WASHC4",279.899235993209,1917.37536231884,2.7849248245269,0.0069317304653311,0.0195433620525513,-4.43033930419954,"Upregulated"
"TIGD7",-47.8616298811544,152.21884057971,-2.78473668936684,0.00693533383401519,0.0195490089769872,-4.43036274376147,"Downregulated"
"AADACL2",-23.2089983022071,45.595652173913,-2.78472467360168,0.00693556403140104,0.0195490089769872,-4.43036424076074,"Downregulated"
"MID1",284.026867572156,1042.13188405797,2.7846315844667,0.00693734766577416,0.0195514560699312,-4.43037583825682,"Upregulated"
"PTPRB",-69.89240237691,369.435144927536,-2.78429564012044,0.00694378803028415,0.0195652971580094,-4.43041768989842,"Downregulated"
"NT5C3B",282.783361629881,1212.72608695652,2.78427984119393,0.00694409104545166,0.0195652971580094,-4.43041965803972,"Upregulated"
"ZNF207",134.423948311639,1297.60692431562,2.78422675302971,0.00694510933767899,0.0195655850316331,-4.43042627141519,"Upregulated"
"TSPYL6",-13.048896434635,20.436231884058,-2.78377299815237,0.00695381847470552,0.0195875364236726,-4.43048279413484,"Downregulated"
"ZNF479",-31.724844368987,89.9584541062802,-2.78302701770339,0.00696815823233543,0.0196253402832636,-4.43057570639037,"Downregulated"
"SMIM15",-949.59906621392,5508.01304347826,-2.7827725758899,0.00697305549604917,0.0196365435428695,-4.43060739383146,"Downregulated"
"DIO3OS",-29.8531975099038,62.6526570048309,-2.78208361772573,0.00698633179842813,0.0196689234541479,-4.43069318593568,"Downregulated"
"CETN3",313.40831918506,1283.55652173913,2.78208030366603,0.00698639571677509,0.0196689234541479,-4.43069359858616,"Upregulated"
